pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,Label
0,3,2,15,0,0,1,4,3,5,1,3,7,3,2,4,1,3,3,1,0,1,2,4,0,1,0,3,0,1,16,1,6,6,17,5,3,1,1,3,0,5,2,3,3,0,3,1,0,2,0,1,1,1,10,3,2,0,0,3,1,0,0,3,4,1,3,0,1,1,0,9,0,8,0,2,4,3,0,3,0,23,1,2,0,3,9,2,0,4,7,1,2,0,0,2,4,4,2,0,0,1,1,8,2,0,2,2,1,2,0,3,0,1,2,6,4,2,2,0,3,0,2,0,3,1,2,1,13,3,3,6,0,4,2,3,2,4,1,1,2,1,2,4,3,0,1,1,4,4,4,4,0,0,2,6,2,0,1,1,1,3,2,3,0,1,5,7,5,4,3,4,2,1,2,5,3,4,4,6,0
0,2,2,14,4,0,3,9,0,1,4,0,0,1,0,2,1,6,0,4,2,2,0,1,3,2,1,2,0,0,16,0,0,15,15,4,0,2,1,5,1,5,0,12,1,3,2,2,1,2,0,1,2,4,6,0,0,3,4,2,1,0,3,1,2,4,0,2,1,0,1,2,0,3,1,0,3,3,1,1,2,16,0,0,0,1,11,2,0,4,0,0,1,0,1,1,0,8,0,0,3,3,6,7,1,3,1,1,1,5,0,1,1,0,0,18,0,0,1,2,1,0,1,0,1,0,2,2,1,2,0,8,4,2,0,5,8,2,1,1,1,0,2,3,0,0,1,3,1,4,0,1,0,0,3,1,0,1,0,2,1,1,0,2,1,3,1,0,0,0,1,0,0,0,0,1,1,5,0,3,0
0,2,2,35,0,0,6,3,0,2,0,5,3,0,3,2,2,6,2,2,3,0,1,1,4,1,1,5,0,2,8,0,11,6,15,4,2,0,0,13,2,3,2,9,4,2,0,2,0,2,0,2,1,0,6,0,4,1,3,2,2,1,3,4,2,3,3,0,1,1,3,3,0,2,1,2,8,3,0,2,3,6,0,3,5,3,12,0,0,5,3,0,2,0,2,2,3,7,4,1,5,0,0,12,1,2,3,2,1,2,1,1,2,1,0,3,1,3,1,0,2,3,1,0,3,0,0,1,6,3,0,5,4,2,2,2,2,2,2,4,1,2,0,12,0,0,0,1,3,3,0,1,2,1,3,1,5,2,0,3,3,1,2,3,3,5,0,6,2,3,8,0,0,4,4,4,5,3,1,3,0
0,0,2,26,0,0,2,2,2,3,0,1,0,2,2,1,2,5,1,5,2,1,3,0,2,0,0,2,0,0,29,0,1,12,14,2,2,0,0,1,0,1,1,7,1,0,0,4,0,3,0,3,3,2,9,2,2,2,5,2,1,2,1,0,2,1,2,2,0,0,0,2,1,4,2,1,5,2,0,3,3,37,2,2,4,1,8,2,0,5,1,0,0,0,0,3,1,4,1,0,5,4,0,6,3,1,1,3,0,0,0,1,3,2,1,21,0,2,3,1,0,1,3,0,1,0,3,1,4,7,0,5,1,1,3,5,10,0,1,1,2,2,0,4,3,0,0,1,0,2,0,0,0,0,4,2,1,1,3,0,1,1,0,2,3,2,0,2,1,6,0,0,3,2,1,1,0,1,3,12,0
1,0,0,17,1,3,5,6,1,0,2,1,1,0,2,2,1,8,4,5,0,2,4,3,0,1,0,3,0,0,11,2,7,2,9,8,2,1,0,2,0,2,2,15,3,0,2,2,2,0,1,1,0,1,9,1,3,1,3,0,3,2,1,0,0,6,2,2,1,0,0,1,0,1,4,1,13,8,1,3,1,16,0,4,0,2,11,1,0,4,1,0,1,1,0,1,0,4,0,3,4,1,1,11,1,1,2,1,2,1,0,0,2,2,0,10,0,0,1,0,3,0,2,0,0,0,2,2,2,0,0,6,3,2,1,5,3,0,3,1,3,0,1,11,0,0,0,3,3,4,2,1,0,1,4,6,5,3,3,2,0,1,2,1,3,2,1,3,4,2,3,1,0,4,0,9,0,2,0,6,0
1,0,4,8,1,0,6,7,0,1,0,3,0,0,0,1,0,1,2,0,2,0,1,3,2,0,1,0,0,0,14,0,2,3,6,7,2,0,1,2,0,2,2,5,8,0,1,1,1,1,0,0,2,1,3,2,0,1,1,0,0,1,2,0,0,3,2,5,0,0,0,0,0,1,1,5,3,3,0,0,1,6,1,5,0,0,4,2,0,2,0,0,1,1,0,0,0,0,1,3,2,1,2,7,1,4,1,0,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,4,0,1,0,2,2,0,1,3,0,1,1,3,1,1,2,9,1,0,13,1,2,0,1,0,3,1,0,0,0,1,0,0,0,0,1,1,1,0,2,2,1,1,5,1,0,0,1,0,1,3,13,3,0,2,5,0
1,1,5,11,1,3,9,5,0,0,4,0,1,0,2,2,1,8,1,0,0,2,1,3,2,0,1,2,0,2,7,0,2,3,14,5,4,1,1,1,1,2,0,4,4,0,4,0,1,2,1,0,1,3,3,1,0,2,1,0,0,1,0,3,3,2,3,0,1,0,1,0,0,2,1,1,4,3,2,1,0,3,1,2,1,3,5,0,0,6,1,1,5,0,2,0,0,10,1,0,7,1,0,9,1,0,1,0,2,0,1,2,3,0,0,4,2,0,0,0,3,0,2,0,0,0,0,1,5,1,3,3,2,3,6,0,0,0,0,2,4,2,0,1,1,0,0,3,1,2,1,3,0,2,1,0,1,3,0,1,0,1,0,3,1,1,3,3,1,0,0,0,1,1,2,4,0,5,0,3,0
1,0,1,20,0,2,5,7,0,1,1,2,1,2,3,2,0,8,2,9,2,5,1,0,4,1,0,1,3,2,7,0,16,3,13,7,2,6,1,1,3,2,4,15,7,1,0,5,1,2,0,3,2,1,8,4,1,2,0,3,3,9,1,2,1,5,2,0,0,0,0,0,0,3,0,3,18,4,0,2,1,6,0,0,5,0,4,5,0,7,3,2,0,0,3,2,3,9,6,0,5,1,0,17,0,0,4,1,1,1,0,3,3,3,2,9,0,2,1,0,2,0,3,1,0,1,4,1,10,1,0,10,3,0,3,2,3,2,5,4,2,1,0,4,0,1,1,1,3,4,3,4,2,2,6,0,3,4,0,3,3,4,5,4,1,6,3,2,1,3,4,0,0,5,1,7,1,5,0,1,0
0,0,0,20,0,2,2,3,0,1,1,0,1,1,2,1,3,8,2,1,3,1,2,3,1,1,0,0,3,2,9,0,6,3,13,2,2,2,0,2,4,1,0,3,0,0,1,2,1,1,0,1,1,0,7,1,2,2,2,1,3,0,1,1,1,1,0,1,0,2,2,2,3,0,1,1,3,2,0,1,3,9,0,0,2,1,5,0,0,6,0,0,3,0,1,1,3,4,2,2,5,3,0,4,2,4,1,2,1,6,0,4,2,2,2,14,0,0,1,0,4,0,2,1,1,1,2,2,6,2,0,7,3,4,2,3,5,1,3,1,9,2,2,11,1,1,0,0,1,4,1,0,2,1,7,2,1,4,0,2,3,2,0,2,1,5,1,6,1,0,2,0,0,2,3,4,1,2,5,5,0
0,2,3,24,6,2,2,3,2,3,3,5,1,3,2,0,3,7,1,1,7,1,1,0,2,2,0,4,1,0,2,1,18,4,11,2,6,3,3,5,5,6,0,9,2,2,3,1,1,1,3,3,2,2,6,3,0,0,1,0,7,0,1,1,3,3,2,0,1,6,0,1,1,2,0,2,5,2,1,5,1,2,1,1,0,0,7,5,0,6,4,1,1,1,0,3,1,5,2,2,2,1,3,8,1,1,0,0,0,3,0,3,2,2,2,5,0,3,0,2,0,1,6,0,5,3,2,0,4,2,0,12,5,5,1,3,6,1,2,1,3,4,1,9,6,0,0,4,2,2,0,0,0,1,0,0,1,3,0,0,0,0,1,1,0,0,1,2,0,2,0,0,2,1,6,3,2,5,0,6,0
0,5,0,10,0,0,2,6,3,2,0,1,2,5,1,3,3,5,3,3,4,1,0,2,1,1,0,4,0,0,12,0,5,3,10,2,2,4,0,4,1,4,2,17,5,0,2,1,0,1,2,0,4,2,4,0,0,1,3,1,5,4,1,2,4,4,4,1,5,2,0,3,0,4,2,2,4,1,1,2,1,5,0,1,1,0,6,1,0,0,0,0,2,1,2,3,0,4,2,3,4,0,3,3,1,1,2,0,1,5,0,0,0,0,5,10,3,1,0,3,4,0,4,0,0,0,1,1,7,0,0,10,1,3,3,1,2,0,3,4,5,2,0,6,1,0,0,0,1,5,2,1,0,1,0,1,1,0,0,1,2,4,1,7,3,4,0,6,1,2,1,3,3,0,6,1,4,5,1,3,0
0,4,1,24,1,1,1,4,0,3,0,4,0,2,2,0,0,4,4,2,7,1,3,0,0,3,0,2,2,4,15,0,6,4,18,3,0,3,1,3,4,1,1,6,0,0,9,0,1,0,0,0,1,3,9,0,1,4,4,1,1,0,0,0,1,1,1,1,1,0,1,2,1,2,0,0,4,1,4,2,0,12,0,3,2,1,7,0,0,1,2,0,2,0,0,3,1,10,0,0,3,1,7,8,2,1,4,2,2,3,0,1,2,0,2,7,1,0,2,0,0,1,1,0,2,2,3,2,2,4,1,6,2,2,2,1,2,2,2,0,2,2,3,5,1,0,2,0,2,1,1,0,1,2,0,1,0,1,0,1,2,2,0,2,3,1,1,4,2,1,2,0,1,0,2,0,2,6,1,1,0
3,2,0,28,0,2,5,8,6,3,4,4,1,2,3,3,3,3,0,3,5,0,4,1,3,2,0,6,1,0,17,0,5,6,14,4,1,0,1,4,2,0,0,7,5,2,3,1,0,1,0,0,3,3,8,2,1,2,1,1,2,5,5,1,2,4,3,1,1,1,0,1,1,2,0,0,3,2,0,2,0,16,1,1,2,4,22,5,0,3,6,0,0,0,4,2,1,10,4,1,13,0,1,13,2,2,1,1,1,4,0,2,4,1,0,11,0,2,2,0,3,0,0,0,4,1,5,1,4,4,1,5,4,7,1,6,7,2,1,2,5,0,0,13,3,0,0,1,2,5,0,1,0,4,1,3,3,2,0,0,4,2,2,10,0,4,2,3,1,1,2,3,0,2,4,4,2,4,2,8,0
0,0,2,2,1,1,0,2,0,1,0,0,2,0,0,0,5,13,2,3,0,1,2,2,1,1,11,5,0,0,0,0,9,5,0,3,2,1,0,4,0,2,0,5,7,2,0,0,4,1,0,0,1,1,0,0,0,1,0,0,0,0,7,7,0,0,2,0,0,4,0,0,0,0,0,2,5,2,0,2,0,0,0,3,0,0,2,0,3,0,0,1,0,1,1,0,1,7,0,5,2,1,1,9,3,2,0,1,1,0,0,0,2,1,0,2,0,0,0,1,1,0,4,3,9,0,0,0,4,0,0,30,0,1,3,2,0,3,4,7,0,2,3,1,5,9,8,0,2,1,0,0,6,0,0,0,0,4,0,1,3,1,0,2,2,0,0,0,1,2,0,0,0,1,1,7,0,1,0,0,0
0,2,2,20,0,3,1,3,1,1,2,1,2,1,2,1,2,4,0,3,2,1,1,0,0,1,0,2,0,0,10,2,9,3,17,2,1,3,0,5,0,4,0,6,2,2,1,0,1,1,1,1,0,2,7,1,2,3,1,1,2,0,0,0,6,1,1,1,0,1,0,2,0,2,0,0,6,1,5,4,0,4,0,2,0,1,4,1,0,4,1,2,1,2,0,2,0,5,0,1,2,1,1,10,5,3,1,1,0,2,1,1,3,1,4,9,0,1,2,2,2,0,1,0,0,0,1,0,3,4,2,4,3,2,0,1,4,0,0,2,3,1,1,1,0,0,0,0,2,0,1,1,1,0,0,2,1,3,0,1,0,0,0,3,0,0,2,2,0,0,0,1,2,1,3,1,3,9,0,5,0
0,5,1,7,0,0,1,5,0,1,2,3,1,1,1,0,0,4,0,1,2,0,0,1,1,3,1,0,0,0,16,1,5,8,20,3,0,1,0,0,1,2,0,2,2,0,2,0,0,0,0,1,0,2,2,0,0,3,1,0,1,2,0,3,0,0,3,0,0,0,0,2,0,6,0,3,7,4,0,1,5,10,0,2,1,1,3,0,0,4,3,1,1,0,1,0,1,5,0,1,2,1,3,11,1,2,1,0,0,3,0,3,4,0,0,11,0,0,2,1,1,0,2,0,0,0,2,0,3,2,0,9,4,0,2,0,1,2,2,4,3,2,1,3,0,0,1,4,1,3,0,1,0,1,1,0,0,0,0,0,2,2,2,2,1,2,3,6,0,1,1,0,1,4,0,3,0,3,0,8,0
0,0,1,14,1,1,5,9,0,3,2,3,0,0,4,0,5,14,1,1,1,1,0,0,4,0,0,4,3,3,10,1,15,3,9,7,4,3,1,1,7,2,0,20,3,0,0,2,1,5,0,3,1,4,5,0,1,2,1,3,6,2,1,1,1,2,0,0,0,2,3,1,3,0,1,0,6,2,0,0,1,5,0,2,2,1,8,2,0,11,3,2,3,0,1,2,1,11,4,4,5,1,0,20,2,2,3,1,0,1,0,1,3,0,2,7,1,0,3,1,2,1,4,0,3,0,0,0,3,2,1,8,2,2,3,0,0,1,4,7,3,1,0,7,2,0,0,1,5,1,0,4,2,1,1,4,4,3,0,1,4,6,4,1,2,2,5,5,2,2,3,0,1,2,5,6,2,4,1,5,0
0,1,2,11,2,2,1,2,0,1,3,0,5,1,1,1,3,6,0,2,1,0,2,0,1,0,1,1,3,1,14,1,10,6,8,1,1,3,1,6,0,2,1,11,0,1,2,2,2,2,0,0,4,4,10,0,0,2,0,3,0,2,0,4,4,1,6,1,2,1,2,2,0,1,0,1,5,3,5,1,1,8,1,0,0,0,1,0,0,2,2,2,2,1,2,0,0,6,0,1,2,1,0,7,4,2,0,1,0,5,1,2,1,0,2,4,2,0,0,0,4,0,1,0,1,0,0,3,5,1,0,5,4,6,0,0,6,0,0,1,11,0,3,1,2,0,2,1,2,2,0,2,1,6,1,0,0,1,0,1,3,1,2,2,1,1,0,1,1,2,0,1,0,0,3,2,0,4,2,0,0
0,1,4,34,0,3,0,2,3,1,3,5,2,4,2,1,1,5,2,0,6,2,0,2,4,2,0,7,1,1,27,2,4,7,12,5,2,4,0,5,1,2,1,6,0,1,4,3,0,7,0,1,2,2,6,1,1,2,1,3,0,1,2,0,3,2,1,0,1,1,3,7,1,3,0,1,1,2,1,4,1,17,0,5,8,4,8,1,0,1,2,1,4,1,1,1,3,6,3,2,7,2,1,5,1,5,1,1,1,2,0,1,3,5,2,10,2,2,1,2,2,2,1,0,1,1,3,5,6,9,0,5,3,6,2,1,2,1,0,2,6,1,3,2,3,0,1,2,4,2,1,2,1,0,4,5,1,1,0,2,0,6,6,4,1,3,3,6,0,0,7,1,1,2,4,6,2,6,0,10,0
1,4,0,30,2,4,0,12,6,2,4,8,2,1,3,3,4,5,2,3,1,1,0,4,4,4,0,3,2,2,8,1,9,7,5,3,1,4,0,2,1,9,7,15,1,5,5,4,1,4,1,0,1,1,9,2,0,7,3,7,4,2,6,3,5,2,4,0,1,1,5,10,4,1,1,0,2,2,0,6,1,2,1,2,1,1,7,3,0,0,4,2,0,1,0,0,0,8,3,0,11,2,1,9,2,3,1,4,0,3,0,3,1,0,2,9,0,2,2,2,1,1,5,0,4,2,2,0,6,4,1,8,2,7,3,3,3,0,2,1,2,1,2,10,4,0,0,0,2,3,0,2,0,1,4,4,2,0,2,1,2,2,1,6,2,4,3,5,0,4,8,3,1,2,7,1,1,5,2,4,0
1,0,2,16,1,0,0,4,2,0,0,1,3,1,1,5,4,6,0,2,7,0,2,2,1,0,0,2,0,2,1,1,10,5,14,1,3,3,2,6,3,2,1,13,3,0,2,1,1,4,0,1,4,3,8,1,2,1,1,2,2,1,3,0,2,2,2,1,0,3,2,1,1,0,2,2,8,5,2,2,2,3,3,0,2,2,5,3,0,2,7,1,0,1,3,4,5,6,3,7,8,1,0,11,1,2,2,0,1,2,0,3,0,2,0,7,0,0,1,0,1,0,2,2,3,1,1,2,3,5,2,12,4,1,4,0,0,3,1,2,2,1,2,10,3,0,0,1,3,1,1,1,0,0,4,4,3,0,0,0,1,3,3,1,0,2,1,4,3,3,5,4,0,0,4,2,1,5,3,3,0
0,1,1,12,1,2,0,5,0,1,1,0,1,3,0,1,0,6,0,3,6,0,0,0,0,3,0,3,0,0,9,1,14,9,28,0,1,2,1,2,1,3,0,6,2,2,3,1,0,0,0,0,1,1,5,2,0,3,5,0,3,0,0,1,7,2,0,1,1,3,0,3,1,1,0,0,3,1,2,0,1,7,0,0,1,1,3,4,0,2,1,1,0,3,0,0,0,2,0,1,2,0,2,8,2,4,0,0,2,2,1,0,0,0,0,4,0,0,0,2,1,1,0,1,1,0,0,3,3,7,0,5,2,3,0,5,6,5,0,1,4,1,0,4,2,0,0,1,1,0,0,0,0,2,3,1,0,1,0,0,0,0,1,2,0,0,2,3,1,0,1,7,1,0,2,1,0,5,4,4,0
1,4,3,23,1,1,1,11,2,2,1,6,0,0,3,4,7,7,5,1,3,4,0,0,4,2,0,2,0,1,14,0,14,3,12,8,3,3,2,5,4,3,4,11,5,0,0,3,1,2,1,4,7,4,9,1,1,3,2,5,7,1,9,6,5,6,0,3,2,1,8,1,7,3,1,0,7,3,0,4,4,10,0,2,1,1,17,3,0,4,6,1,1,1,4,0,5,12,3,4,14,5,0,10,3,1,2,4,0,4,0,3,2,1,4,7,1,2,2,2,3,0,2,1,7,2,4,2,5,5,1,9,0,1,3,6,5,3,4,5,1,3,0,7,4,0,1,3,2,7,0,2,1,1,4,6,6,2,0,5,1,4,2,6,1,2,0,10,0,3,5,0,1,3,8,3,0,1,3,4,0
